"","Date","Region","Thermal.Generation.Actual..in.MU.","Hydro.Generation.Actual..in.MU."
"386",2017-11-18,"Northern",574.07,117.5
"387",2017-11-18,"Western",1095.61,45.87
"388",2017-11-18,"Southern",609.54,72.56
"389",2017-11-18,"Eastern",474.02,36.75
"390",2017-11-18,"NorthEastern",29.11,12.92
"391",2017-11-19,"Northern",574.07,117.5
"392",2017-11-19,"Western",1133.28,45.87
"393",2017-11-19,"Southern",609.54,72.56
"394",2017-11-19,"Eastern",474.02,36.75
"395",2017-11-19,"NorthEastern",29.11,12.92
"396",2017-11-20,"Northern",584.12,117.5
"397",2017-11-20,"Western",1100.91,45.87
"398",2017-11-20,"Southern",598.75,72.56
"399",2017-11-20,"Eastern",474.02,36.75
"400",2017-11-20,"NorthEastern",29.11,12.92
"401",2017-11-21,"Northern",584.12,117.5
"402",2017-11-21,"Western",1100.91,45.87
"403",2017-11-21,"Southern",598.75,72.56
"404",2017-11-21,"Eastern",473.52,36.75
"405",2017-11-21,"NorthEastern",29.11,12.92
"406",2017-11-22,"Northern",581.44,117.5
"407",2017-11-22,"Western",1100.91,45.87
"408",2017-11-22,"Southern",598.75,72.56
"409",2017-11-22,"Eastern",466.65,36.75
"410",2017-11-22,"NorthEastern",29.11,12.92
"411",2017-11-23,"Northern",599.94,117.5
"412",2017-11-23,"Western",1100.91,45.87
"413",2017-11-23,"Southern",598.75,72.56
"414",2017-11-23,"Eastern",466.65,36.75
"415",2017-11-23,"NorthEastern",29.11,12.92
"416",2017-11-24,"Northern",599.94,117.5
"417",2017-11-24,"Western",1100.91,45.87
"418",2017-11-24,"Southern",598.75,72.56
"419",2017-11-24,"Eastern",466.65,36.75
"420",2017-11-24,"NorthEastern",29.11,12.92
"421",2017-11-25,"Northern",599.29,117.5
"422",2017-11-25,"Western",1100.91,45.87
"423",2017-11-25,"Southern",598.75,72.56
"424",2017-11-25,"Eastern",471.95,36.75
"425",2017-11-25,"NorthEastern",29.11,12.92
"426",2017-11-26,"Northern",601.84,117.5
"427",2017-11-26,"Western",1095.47,45.87
"428",2017-11-26,"Southern",598.75,72.56
"429",2017-11-26,"Eastern",477.75,36.75
"430",2017-11-26,"NorthEastern",29.11,12.92
"431",2017-11-27,"Northern",612.19,117.5
"432",2017-11-27,"Western",1103.72,45.87
"433",2017-11-27,"Southern",594.56,72.56
"434",2017-11-27,"Eastern",482.25,36.75
"435",2017-11-27,"NorthEastern",29.11,12.92
"436",2017-11-28,"Northern",614.85,117.5
"437",2017-11-28,"Western",1103.72,45.87
"438",2017-11-28,"Southern",594.56,72.56
"439",2017-11-28,"Eastern",482.25,36.75
"440",2017-11-28,"NorthEastern",29.11,12.92
"441",2017-11-29,"Northern",615.5,117.5
"442",2017-11-29,"Western",1103.72,45.87
"443",2017-11-29,"Southern",594.56,72.56
"444",2017-11-29,"Eastern",482.25,36.75
"445",2017-11-29,"NorthEastern",29.11,12.92
"446",2017-11-30,"Northern",618.83,117.5
"447",2017-11-30,"Western",1103.72,45.87
"448",2017-11-30,"Southern",594.56,72.56
"449",2017-11-30,"Eastern",482.25,36.75
"450",2017-11-30,"NorthEastern",29.11,12.92
"451",2017-12-01,"Northern",607.52,105.23
"452",2017-12-01,"Western",1056.13,42.27
"453",2017-12-01,"Southern",595.72,69.72
